"X","country","year","gdp","unem","trade"
1,"United States",1966,5.1111407,3.8,9.622906
2,"United States",1967,2.2772829,3.8,9.983546
3,"United States",1968,4.7,3.6,10.08912
4,"United States",1969,2.8,3.5,10.43593
5,"United States",1970,-0.2,4.9,10.49535
6,"United States",1971,3.1,5.9,11.27827
7,"United States",1972,5.4,5.6,11.21771
8,"United States",1973,5.7,4.9,11.76705
9,"United States",1974,-0.9,5.6,13.77255
10,"United States",1975,-0.8,8.5,17.42326
11,"United States",1976,4.7,7.7,16.52211
12,"United States",1977,5.5,7.1,17.23492
13,"United States",1978,4.7,6.1,17.54099
14,"United States",1979,2.6,5.8,18.17591
15,"United States",1980,-0.4,7.1,19.73285
16,"United States",1981,3.4,7.5,21.51057
17,"United States",1982,-3,9.5,20.53895
18,"United States",1983,2.9,9.5,18.56972
19,"United States",1984,7.2,7.5,17.81588
20,"United States",1985,3.8,7.1,18.02899
21,"United States",1986,2.8,7,17.20371
22,"United States",1987,3.7,6.2,17.23095
23,"United States",1988,4.6,5.5,18.29418
24,"United States",1989,2.8,5.2700837,19.413526
25,"United States",1990,0.9,5.4145596,20.638364
26,"Canada",1966,6.8021676,3.6,38.45467
27,"Canada",1967,2.9236458,4.1,40.16167
28,"Canada",1968,5.6,4.8,41.06574
29,"Canada",1969,5.2,4.7,42.76849
30,"Canada",1970,2.6,5.9,44.16533
31,"Canada",1971,7,6.4,43.8499
32,"Canada",1972,5.8,6.3,42.67813
33,"Canada",1973,7.5,5.6,43.88472
34,"Canada",1974,3.5,5.4,46.41543
35,"Canada",1975,1.1,6.9,50.49331
36,"Canada",1976,6.1,7.1,48.16162
37,"Canada",1977,2.2,8.1,46.12166
38,"Canada",1978,3.9,8.4,48.00311
39,"Canada",1979,3.4,7.5,51.22656
40,"Canada",1980,1,7.5,54.93203
41,"Canada",1981,4,7.6,55.77161
42,"Canada",1982,-4.3,11,54.325
43,"Canada",1983,2.8,11.9,48.58355
44,"Canada",1984,5.4,11.3,48.40208
45,"Canada",1985,4.7,10.5,53.52345
46,"Canada",1986,3.1,9.6,54.3082
47,"Canada",1987,4.5,8.9,53.4611
48,"Canada",1988,5,7.8,52.15683
49,"Canada",1989,2.4,7.4952143,52.077395
50,"Canada",1990,0.4,8.059593,49.932476
51,"United Kingdom",1966,1.8770983,1.5,37.9319
52,"United Kingdom",1967,2.2550651,2.3,37.83032
53,"United Kingdom",1968,4.1,2.5,37.76296
54,"United Kingdom",1969,1.5,2.4,41.92546
55,"United Kingdom",1970,2.2,2.6,42.79789
56,"United Kingdom",1971,2.7,3.5,44.08434
57,"United Kingdom",1972,2.3,3.8,43.51069
58,"United Kingdom",1973,7.6,2.7,42.86721
59,"United Kingdom",1974,-1,2.6,48.8228
60,"United Kingdom",1975,-0.7,4,59.62837
61,"United Kingdom",1976,3.8,5.5,52.51037
62,"United Kingdom",1977,1,5.8,56.87488
63,"United Kingdom",1978,3.6,5.7,59.06499
64,"United Kingdom",1979,2.2,5.3,55.53134
65,"United Kingdom",1980,-2.3,7,55.78893
66,"United Kingdom",1981,-1.4,10.5,52.5135
67,"United Kingdom",1982,1.5,11.2,50.54586
68,"United Kingdom",1983,3.4,11.7,51.03159
69,"United Kingdom",1984,1.8,11.7,52.77322
70,"United Kingdom",1985,3.7,11.2,58.07664
71,"United Kingdom",1986,3.5,11.2,57.58285
72,"United Kingdom",1987,4.7,10.2,53.52335
73,"United Kingdom",1988,4.1,8.3,52.65015
74,"United Kingdom",1989,2.3,6.1140732,50.248182
75,"United Kingdom",1990,0.8,5.4717446,52.35597
76,"Netherlands",1966,1.8770983,1,87.05895
77,"Netherlands",1967,2.2550651,2,85.44972
78,"Netherlands",1968,2.3,1.9,82.56051
79,"Netherlands",1969,6.4,1.4,82.63106
80,"Netherlands",1970,6.7,1.1,86.03879
81,"Netherlands",1971,4.2,1.6,91.87628
82,"Netherlands",1972,3.3,2.8,91.26911
83,"Netherlands",1973,4.7,2.8,87.19008
84,"Netherlands",1974,4,3.5,91.15795
85,"Netherlands",1975,-0.1,5.3,104.9757
86,"Netherlands",1976,5.1,5.6,96.28062
87,"Netherlands",1977,2.3,5.5,98.3404
88,"Netherlands",1978,2.5,5.5,93.89299
89,"Netherlands",1979,2.4,5.6,89.75119
90,"Netherlands",1980,0.9,6,98.66754
91,"Netherlands",1981,-0.7,8.9,105.5502
92,"Netherlands",1982,-1.4,10.3,112.4727
93,"Netherlands",1983,0.9,12.3,111.3337
94,"Netherlands",1984,1.7,12.3,112.8105
95,"Netherlands",1985,2.6,10.2,119.0031
96,"Netherlands",1986,2,10,122.6721
97,"Netherlands",1987,1.1,10,104.1273
98,"Netherlands",1988,2.7,10.1,102.312
99,"Netherlands",1989,4,8.31223,105.057288
100,"Netherlands",1990,3.9,7.5087311,111.762226
101,"Belgium",1966,3.1622589,2.7,73.61844
102,"Belgium",1967,3.8753976,3.7,74.54204
103,"Belgium",1968,4.2,4.5,73.58559
104,"Belgium",1969,6.6,3.6,78.44779
105,"Belgium",1970,6.4,2.9,84.37925
106,"Belgium",1971,3.7,2.9,86.75947
107,"Belgium",1972,5.3,3.4,86.10609
108,"Belgium",1973,5.9,3.6,85.15666
109,"Belgium",1974,4.1,4,94.41487
110,"Belgium",1975,-1.5,6.7,108.1774
111,"Belgium",1976,5.3,6.8,93.60921
112,"Belgium",1977,0.4,7.8,98.26746
113,"Belgium",1978,3,8.4,107.1681
114,"Belgium",1979,2.1,8.7,104.3904
115,"Belgium",1980,4,9.4,115.2146
116,"Belgium",1981,-1.5,10,121.3896
117,"Belgium",1982,1.5,11.7,130.5714
118,"Belgium",1983,-0.1,12.9,138.4857
119,"Belgium",1984,1.4,13,137.1896
120,"Belgium",1985,0.9,12,146.0202
121,"Belgium",1986,1.6,11.3,141.2755
122,"Belgium",1987,1.9,11.1,127.2102
123,"Belgium",1988,4.3,10,126.9076
124,"Belgium",1989,3.6,9.2664093,133.281122
125,"Belgium",1990,3.8,8.7341469,142.686084
126,"France",1966,5.2141824,0.7,24.30256
127,"France",1967,4.6882107,0.9,25.00878
128,"France",1968,4.3,1.2,24.85014
129,"France",1969,7,1,25.40206
130,"France",1970,5.7,1.2,27.82975
131,"France",1971,5.4,1.6,31.51196
132,"France",1972,5.9,2,32.18585
133,"France",1973,5.4,2.6,32.61595
134,"France",1974,3.2,2.8,34.76036
135,"France",1975,0.2,4.1,43.20575
136,"France",1976,5.2,4.4,37.32651
137,"France",1977,3.1,4.7,40.42973
138,"France",1978,3.8,5.2,41.56883
139,"France",1979,3.3,5.9,40.2554
140,"France",1980,1.1,6.3,42.54165
141,"France",1981,0.5,7.3,44.89193
142,"France",1982,1.8,8.1,46.89539
143,"France",1983,0.7,8.3,46.22432
144,"France",1984,1.3,9.9,45.69321
145,"France",1985,1.9,10.2,47.64652
146,"France",1986,2.3,10.4,47.21023
147,"France",1987,1.9,10.5,41.62719
148,"France",1988,3.5,9.9,41.46514
149,"France",1989,3.6,9.3791118,42.861233
150,"France",1990,2.6,8.9709547,49.667118
151,"West Germany",1966,2.9414163,0.7,37.89446
152,"West Germany",1967,-0.1188883,2.1,38.81367
153,"West Germany",1968,6.3,1.5,39.50642
154,"West Germany",1969,7.8,0.9,41.40414
155,"West Germany",1970,6,0.7,43.06893
156,"West Germany",1971,2.9,0.8,43.21042
157,"West Germany",1972,4.2,1.1,43.2477
158,"West Germany",1973,4.7,1.2,42.76834
159,"West Germany",1974,0.3,2.6,44.19636
160,"West Germany",1975,-1.6,4.7,52.19484
161,"West Germany",1976,5.4,4.6,49.9167
162,"West Germany",1977,3,4.5,52.59491
163,"West Germany",1978,2.9,4.3,52.03534
164,"West Germany",1979,4.2,3.8,50.73377
165,"West Germany",1980,1.4,3.8,53.40189
166,"West Germany",1981,0.2,5.5,57.20418
167,"West Germany",1982,-0.6,7.5,61.45247
168,"West Germany",1983,1.2,9.1,62.33753
169,"West Germany",1984,2.6,9.1,60.67839
170,"West Germany",1985,2,9.3,64.16871
171,"West Germany",1986,2.3,9,66.31547
172,"West Germany",1987,1.8,8.9,59.98089
173,"West Germany",1988,3.7,8.7,58.09554
174,"West Germany",1989,3.2,6.843749,59.254416
175,"West Germany",1990,4.7,6.2089887,64.47238
